id,text,aspects,category
1,The RAM is good. The design is decent.,"{'term':array(['RAM','design'],dtype=object),'polarity':array(['positive','neutral'],dtype=object),'from':array([4,21],dtype=int16),'to':array([7,27],dtype=int16)}","{'category':array(['RAM','design'],dtype=object),'polarity':array(['positive','neutral'],dtype=object)}"
2,The screen is amazing. The design is impressive. The mousepad is bad.,"{'term':array(['screen','design','mousepad'],dtype=object),'polarity':array(['positive','positive','negative'],dtype=object),'from':array([4,27,53],dtype=int16),'to':array([10,33,61],dtype=int16)}","{'category':array(['screen','design','mousepad'],dtype=object),'polarity':array(['positive','positive','negative'],dtype=object)}"
3,The GPU is adequate. The camera is average. The software is poor. The keyboard is great.,"{'term':array(['GPU','camera','software','keyboard'],dtype=object),'polarity':array(['neutral','neutral','negative','positive'],dtype=object),'from':array([4,25,48,70],dtype=int16),'to':array([7,31,56,78],dtype=int16)}","{'category':array(['GPU','camera','software','keyboard'],dtype=object),'polarity':array(['neutral','neutral','negative','positive'],dtype=object)}"
4,The RAM is terrible. The battery is fair. The design is disappointing.,"{'term':array(['RAM','battery','design'],dtype=object),'polarity':array(['negative','neutral','negative'],dtype=object),'from':array([4,25,46],dtype=int16),'to':array([7,32,52],dtype=int16)}","{'category':array(['RAM','battery','design'],dtype=object),'polarity':array(['negative','neutral','negative'],dtype=object)}"
5,The GPU is terrible. The keyboard is poor. The mousepad is decent.,"{'term':array(['GPU','keyboard','mousepad'],dtype=object),'polarity':array(['negative','negative','neutral'],dtype=object),'from':array([4,25,47],dtype=int16),'to':array([7,33,55],dtype=int16)}","{'category':array(['GPU','keyboard','mousepad'],dtype=object),'polarity':array(['negative','negative','neutral'],dtype=object)}"
6,The battery is poor. The camera is average. The GPU is fair. The screen is terrible.,"{'term':array(['battery','camera','GPU','screen'],dtype=object),'polarity':array(['negative','neutral','neutral','negative'],dtype=object),'from':array([4,25,48,65],dtype=int16),'to':array([11,31,51,71],dtype=int16)}","{'category':array(['battery','camera','GPU','screen'],dtype=object),'polarity':array(['negative','neutral','neutral','negative'],dtype=object)}"
7,The software is average. The RAM is disappointing.,"{'term':array(['software','RAM'],dtype=object),'polarity':array(['neutral','negative'],dtype=object),'from':array([4,29],dtype=int16),'to':array([12,32],dtype=int16)}","{'category':array(['software','RAM'],dtype=object),'polarity':array(['neutral','negative'],dtype=object)}"
8,The battery is great. The RAM is good. The software is excellent.,"{'term':array(['battery','RAM','software'],dtype=object),'polarity':array(['positive','positive','positive'],dtype=object),'from':array([4,26,43],dtype=int16),'to':array([11,29,51],dtype=int16)}","{'category':array(['battery','RAM','software'],dtype=object),'polarity':array(['positive','positive','positive'],dtype=object)}"
9,The hardware is average. The mousepad is excellent.,"{'term':array(['hardware','mousepad'],dtype=object),'polarity':array(['neutral','positive'],dtype=object),'from':array([4,29],dtype=int16),'to':array([12,37],dtype=int16)}","{'category':array(['hardware','mousepad'],dtype=object),'polarity':array(['neutral','positive'],dtype=object)}"
10,The camera is unpleasant. The hardware is bad. The battery is amazing. The GPU is fair.,"{'term':array(['camera','hardware','battery','GPU'],dtype=object),'polarity':array(['negative','negative','positive','neutral'],dtype=object),'from':array([4,30,51,75],dtype=int16),'to':array([10,38,58,78],dtype=int16)}","{'category':array(['camera','hardware','battery','GPU'],dtype=object),'polarity':array(['negative','negative','positive','neutral'],dtype=object)}"
